id,date,city,lat,long,pop,shop,brand,container,capacity,price,quantity
0.0,2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,glass,500ml,0.96,13280.0
1.0,2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,plastic,1.5lt,2.86,6727.0
2.0,2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,kinder-cola,can,330ml,0.87,9848.0
3.0,2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,adult-cola,glass,500ml,1.0,20050.0
4.0,2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,adult-cola,can,330ml,0.39,25696.0
5.0,2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,orange-power,glass,500ml,1.0,15041.0
6.0,2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,orange-power,can,330ml,0.43,34578.0
7.0,2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,gazoza,glass,500ml,0.49,44734.0
8.0,2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,glass,500ml,0.7,18623.0
9.0,2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,plastic,1.5lt,2.21,9645.0
10.0,2012-01-31,Athens,37.97945,23.71622,672130.0,shop_1,lemon-boost,can,330ml,0.52,19818.0
11.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,kinder-cola,glass,500ml,1.51,8943.0
12.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,kinder-cola,plastic,1.5lt,1.62,15073.0
13.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,kinder-cola,can,330ml,0.91,11174.0
14.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,adult-cola,glass,500ml,1.0,21063.0
15.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,orange-power,glass,500ml,0.88,21720.0
16.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,orange-power,,330ml,0.23,54780.0
17.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,gazoza,glass,500ml,0.58,41378.0
18.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,gazoza,plastic,1.5lt,1.0,30757.0
19.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,gazoza,can,330ml,0.26,49688.0
20.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,lemon-boost,glass,500ml,0.89,18582.0
21.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,lemon-boost,plastic,1.5lt,2.25,10348.0
22.0,2012-01-31,Irakleion,35.32787,25.14341,134219.0,shop_2,lemon-boost,can,330ml,0.41,29015.0
23.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,kinder-cola,glass,500ml,1.11,17474.0
24.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,kinder-cola,plastic,1.5lt,3.84,8361.0
25.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,kinder-cola,can,330ml,0.57,26782.0
26.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,adult-cola,glass,500ml,1.17,19841.0
27.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,adult-cola,plastic,1.5lt,2.77,14917.0
28.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,adult-cola,can,330ml,0.65,26581.0
29.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,orange-power,plastic,1.5lt,1.65,30586.0
30.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,orange-power,can,330ml,0.33,66314.0
31.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,gazoza,glass,500ml,0.57,56428.0
32.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,gazoza,plastic,1.5lt,0.73,47386.0
33.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,gazoza,can,330ml,0.21,77667.0
34.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,lemon-boost,plastic,1.5lt,2.05,16090.0
35.0,2012-01-31,Patra,38.24444,21.73444,164250.0,shop_6,lemon-boost,can,330ml,0.68,17127.0
36.0,2012-01-31,Thessaloniki,40.64361,22.93086,346502.0,shop_4,kinder-cola,plastic,1.5lt,2.8,11306.0
37.0,2012-01-31,Thessaloniki,40.64361,22.93086,346502.0,shop_4,kinder-cola,can,330ml,0.79,16018.0
38.0,2012-01-31,Thessaloniki,40.64361,22.93086,346502.0,shop_4,adult-cola,plastic,1.5lt,2.99,12674.0
39.0,2012-01-31,Thessaloniki,40.64361,22.93086,346502.0,shop_4,adult-cola,can,330ml,0.49,30194.0
40.0,2012-01-31,Thessaloniki,40.64361,22.93086,346502.0,shop_4,orange-power,glass,500ml,0.96,23346.0
41.0,2012-01-31,Thessaloniki,40.64361,22.93086,346502.0,shop_4,orange-power,plastic,1.5lt,2.15,12835.0
42.0,2012-01-31,Thessaloniki,40.64361,22.93086,346502.0,shop_4,orange-power,can,330ml,0.41,40722.0
43.0,2012-01-31,Thessaloniki,40.64361,22.93086,346502.0,shop_4,gazoza,can,330ml,0.28,48918.0
44.0,2012-01-31,Thessaloniki,40.64361,22.93086,346502.0,shop_4,lemon-boost,glass,500ml,0.82,27727.0
45.0,2012-01-31,Thessaloniki,40.64361,22.93086,346502.0,shop_4,lemon-boost,plastic,1.5lt,1.56,16352.0
